video_id,path,label,source
FF_real__747.mp4,/kaggle/input/datasets/xdxd003/ff-c23/FaceForensics++_C23/original/747.mp4,0,FF_real
Celeb_real__id25_0004.mp4,/kaggle/input/datasets/reubensuju/celeb-df-v2/Celeb-real/id25_0004.mp4,0,Celeb_real
Celeb_real__id24_0008.mp4,/kaggle/input/datasets/reubensuju/celeb-df-v2/Celeb-real/id24_0008.mp4,0,Celeb_real
Custom_real__557.mp4,/kaggle/input/datasets/swapnavasireddy/400video/content/drive/MyDrive/face_dataset_dip/real_videos/557.mp4,0,Custom_real
FF_FaceShifter__435_456.mp4,/kaggle/input/datasets/xdxd003/ff-c23/FaceForensics++_C23/FaceShifter/435_456.mp4,1,FF_FaceShifter
Custom_fake__832_762.mp4,/kaggle/input/datasets/swapnavasireddy/400video/content/drive/MyDrive/face_dataset_dip/deepfake_videos/832_762.mp4,1,Custom_fake
FF_FaceShifter__661_670.mp4,/kaggle/input/datasets/xdxd003/ff-c23/FaceForensics++_C23/FaceShifter/661_670.mp4,1,FF_FaceShifter
YT_real__00134.mp4,/kaggle/input/datasets/reubensuju/celeb-df-v2/YouTube-real/00134.mp4,0,YT_real
Custom_fake__324_356.mp4,/kaggle/input/datasets/swapnavasireddy/400video/content/drive/MyDrive/face_dataset_dip/deepfake_videos/324_356.mp4,1,Custom_fake
FF_Deepfakes__319_352.mp4,/kaggle/input/datasets/xdxd003/ff-c23/FaceForensics++_C23/Deepfakes/319_352.mp4,1,FF_Deepfakes
YT_real__00102.mp4,/kaggle/input/datasets/reubensuju/celeb-df-v2/YouTube-real/00102.mp4,0,YT_real
FF_real__867.mp4,/kaggle/input/datasets/xdxd003/ff-c23/FaceForensics++_C23/original/867.mp4,0,FF_real
Celeb_real__id11_0005.mp4,/kaggle/input/datasets/reubensuju/celeb-df-v2/Celeb-real/id11_0005.mp4,0,Celeb_real
Custom_real__360.mp4,/kaggle/input/datasets/swapnavasireddy/400video/content/drive/MyDrive/face_dataset_dip/real_videos/360.mp4,0,Custom_real
FF_FaceSwap__071_054.mp4,/kaggle/input/datasets/xdxd003/ff-c23/FaceForensics++_C23/FaceSwap/071_054.mp4,1,FF_FaceSwap
FF_NeuralTextures__349_350.mp4,/kaggle/input/datasets/xdxd003/ff-c23/FaceForensics++_C23/NeuralTextures/349_350.mp4,1,FF_NeuralTextures
YT_real__00173.mp4,/kaggle/input/datasets/reubensuju/celeb-df-v2/YouTube-real/00173.mp4,0,YT_real
Custom_real__062.mp4,/kaggle/input/datasets/swapnavasireddy/400video/content/drive/MyDrive/face_dataset_dip/real_videos/062.mp4,0,Custom_real
FF_Face2Face__039_058.mp4,/kaggle/input/datasets/xdxd003/ff-c23/FaceForensics++_C23/Face2Face/039_058.mp4,1,FF_Face2Face
FF_FaceShifter__571_746.mp4,/kaggle/input/datasets/xdxd003/ff-c23/FaceForensics++_C23/FaceShifter/571_746.mp4,1,FF_FaceShifter
Custom_real__394.mp4,/kaggle/input/datasets/swapnavasireddy/400video/content/drive/MyDrive/face_dataset_dip/real_videos/394.mp4,0,Custom_real
FF_real__566.mp4,/kaggle/input/datasets/xdxd003/ff-c23/FaceForensics++_C23/original/566.mp4,0,FF_real
FF_FaceSwap__475_265.mp4,/kaggle/input/datasets/xdxd003/ff-c23/FaceForensics++_C23/FaceSwap/475_265.mp4,1,FF_FaceSwap
Celeb_real__id60_0008.mp4,/kaggle/input/datasets/reubensuju/celeb-df-v2/Celeb-real/id60_0008.mp4,0,Celeb_real
FF_DeepFakeDetection__13_02__walking_down_indoor_hall_disgust__AROBAY8R.mp4,/kaggle/input/datasets/xdxd003/ff-c23/FaceForensics++_C23/DeepFakeDetection/13_02__walking_down_indoor_hall_disgust__AROBAY8R.mp4,1,FF_DeepFakeDetection
Celeb_fake__id46_id40_0004.mp4,/kaggle/input/datasets/reubensuju/celeb-df-v2/Celeb-synthesis/id46_id40_0004.mp4,1,Celeb_fake
